LoadTap_eighths,LoadRatio,LoadPower_VA,LoadResistance_ohm,Brightness,Iref_Arms,Ki,Peak_Arms,Overshoot_A,Overshoot_pct,Final_Arms,FinalError_A,SettlingTime_s,MaxContinuous120Duration_s,MeetsFAASettling,MeetsIECSettling,MeetsFAATransient120Duration,MeetsIECStepSurgeLimit,Pass,Score,Error
4,0.5,1221,28.030303030303,B4,5.2,310,5.78345719150889,0.583457191508889,11.2203306059402,5.17837989489344,-0.0216201051065585,0.89825,0,1,0,1,1,1,24.5769161875632,
4,0.5,1221,28.030303030303,B4,5.2,320,5.78345921800395,0.583459218003947,11.220369576999,5.17837947258209,-0.0216205274179124,0.96825,0,1,0,1,1,1,24.5910182917373,
4,0.5,1221,28.030303030303,B5,6.6,40,6.810394071474,0.210394071474005,3.18778896172735,6.60533793158537,0.00533793158536611,0.99805,0,1,0,1,0,0,105.783069352935,
4,0.5,1221,28.030303030303,B5,6.6,50,6.81039402020075,0.210394020200749,3.18778818485984,6.81034213879326,0.210342138793258,NaN,0,0,0,1,0,0,137.651884532386,
4,0.5,1221,28.030303030303,B5,6.6,60,6.81039425516241,0.210394255162408,3.18779174488496,6.60546933364123,0.00546933364123259,0.9981,0,1,0,1,0,0,105.783088593018,
4,0.5,1221,28.030303030303,B5,6.6,70,6.81039410727289,0.21039410727289,3.1877895041347,6.81034210810325,0.210342108103254,NaN,0,0,0,1,0,0,137.651882774378,
4,0.5,1221,28.030303030303,B5,6.6,80,6.81039417598647,0.210394175986472,3.18779054524957,6.39390125858942,-0.206098741410584,NaN,0,0,0,1,0,0,136.803212892345,
4,0.5,1221,28.030303030303,B5,6.6,90,6.81039412147663,0.210394121476626,3.18778971934282,6.39390126876942,-0.206098731230575,NaN,0,0,0,1,0,0,136.803208114333,
4,0.5,1221,28.030303030303,B5,6.6,100,6.81039419802425,0.210394198024255,3.18779087915537,6.60546972939611,0.00546972939610768,0.9981,0,1,0,1,0,0,105.783085718796,
4,0.5,1221,28.030303030303,B5,6.6,110,6.81039408840431,0.210394088404315,3.1877892182472,6.60533805612897,0.00533805612897176,0.99805,0,1,0,1,0,0,105.783070204581,
4,0.5,1221,28.030303030303,B5,6.6,120,6.81039400777007,0.210394007770075,3.18778799651629,6.60533690805126,0.0053369080512633,0.99805,0,1,0,1,0,0,105.783066148434,
4,0.5,1221,28.030303030303,B5,6.6,130,6.81039407590455,0.210394075904547,3.18778902885677,6.39390140646801,-0.206098593531985,NaN,0,0,0,1,0,0,136.803178282202,
4,0.5,1221,28.030303030303,B5,6.6,140,6.81039407412115,0.210394074121146,3.18778900183554,6.60533794224523,0.00533794224523376,0.99805,0,1,0,1,0,0,105.783069486094,
4,0.5,1221,28.030303030303,B5,6.6,150,6.81039403832548,0.210394038325479,3.18778845947695,6.81034210901776,0.210342109017758,NaN,0,0,0,1,0,0,137.651879489015,
4,0.5,1221,28.030303030303,B5,6.6,160,6.81039418393512,0.210394183935117,3.18779066568359,6.60533888085615,0.00533888085615519,0.99805,0,1,0,1,0,0,105.78307501007,
4,0.5,1221,28.030303030303,B5,6.6,170,6.81039401419538,0.210394014195385,3.18778809386947,6.60533606872395,0.00533606872394543,0.99805,0,1,0,1,0,0,105.783066471647,
4,0.5,1221,28.030303030303,B5,6.6,180,6.8103939953497,0.210393995349703,3.18778780832883,6.39390128970212,-0.206098710297884,NaN,0,0,0,1,0,0,136.803197583228,
4,0.5,1221,28.030303030303,B5,6.6,190,6.81039411291431,0.210394112914307,3.18778958961072,6.81034219684436,0.210342196844357,NaN,0,0,0,1,0,0,137.651900806379,
4,0.5,1221,28.030303030303,B5,6.6,200,6.81039404563835,0.210394045638346,3.18778857027798,6.60547132797073,0.00547132797073413,0.9981,0,1,0,1,0,0,105.783078053323,
4,0.5,1221,28.030303030303,B5,6.6,210,6.81039399972419,0.210393999724191,3.18778787460896,6.60547246012246,0.00547246012245761,0.9981,0,1,0,1,0,0,105.783075743702,
4,0.5,1221,28.030303030303,B5,6.6,220,6.81039410106908,0.210394101069077,3.18778941013752,6.60547076287718,0.00547076287718529,0.9981,0,1,0,1,0,0,105.783080841657,
4,0.5,1221,28.030303030303,B5,6.6,230,6.81039406037941,0.210394060379407,3.18778879362738,6.60547094895452,0.0054709489545246,0.9981,0,1,0,1,0,0,105.783078794843,
4,0.5,1221,28.030303030303,B5,6.6,240,6.81039410084987,0.210394100849867,3.18778940681617,6.39390131237927,-0.206098687620729,NaN,0,0,0,1,0,0,136.803198354776,
4,0.5,1221,28.030303030303,B5,6.6,250,6.81039404442869,0.210394044428692,3.18778855194988,6.3939012808597,-0.206098719140298,NaN,0,0,0,1,0,0,136.803201820533,
4,0.5,1221,28.030303030303,B5,6.6,260,7.02417833253951,0.424178332539514,6.42694443241687,6.60533597428511,0.00533597428511445,0.99805,0,1,0,1,0,0,116.537065515624,
4,0.5,1221,28.030303030303,B5,6.6,270,7.23161689651509,0.63161689651509,9.56995297750136,6.81034212342243,0.210342123422428,NaN,0,0,0,1,0,0,158.84066856979,
4,0.5,1221,28.030303030303,B5,6.6,280,7.23161689135249,0.631616891352492,9.56995289928018,6.3939012793573,-0.206098720642697,NaN,0,0,0,1,0,0,157.991987754149,
4,0.5,1221,28.030303030303,B5,6.6,290,7.23161685062461,0.63161685062461,9.56995228219106,6.60533716546437,0.0053371654643728,0.99805,0,1,0,1,0,0,126.971851576874,
4,0.5,1221,28.030303030303,B5,6.6,300,7.23161685826983,0.631616858269834,9.56995239802779,6.60533688874724,0.0053368887472427,0.99805,0,1,0,1,0,0,126.971851961452,
4,0.5,1221,28.030303030303,B5,6.6,310,7.23161684822377,0.631616848223771,9.56995224581471,6.39384604229312,-0.206153957706875,NaN,0,0,0,1,0,0,158.00303299748,
4,0.5,1221,28.030303030303,B5,6.6,320,7.44732121486871,0.847321214868714,12.8382002252835,6.81034210731997,0.210342107319975,NaN,0,0,0,1,0,0,169.691246211936,
4,0.75,1831.5,42.0454545454545,B0,1.5,40,1.26956393823482,0,0,1.26956393711768,-0.230436062882321,NaN,0,0,0,1,1,0,136.087212576464,
